step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
2440 2.502630e-01 1 3.626253e-05 6.149299e-11 5.870476e-15
2450 2.513953e-01 1 3.626368e-05 6.210481e-11 5.914602e-15
2460 2.525286e-01 1 3.626021e-05 6.271755e-11 5.958450e-15
2470 2.536628e-01 1 3.625226e-05 5.703803e-11 5.474711e-15
2480 2.547979e-01 1 3.623941e-05 5.758487e-11 5.512906e-15
2490 2.559341e-01 1 3.622216e-05 5.024991e-11 4.934302e-15
2500 2.570711e-01 1 3.619999e-05 5.071852e-11 4.966712e-15
2510 2.582092e-01 1 3.617328e-05 5.044884e-11 4.881868e-15
2520 2.593481e-01 1 3.614194e-05 4.433253e-11 4.452945e-15
2530 2.604881e-01 1 3.610593e-05 4.122223e-11 4.190788e-15
2540 2.616290e-01 1 3.606506e-05 4.159678e-11 4.217853e-15
2550 2.627708e-01 1 3.601953e-05 4.197178e-11 4.244762e-15
2560 2.639136e-01 1 3.596938e-05 4.234718e-11 4.271505e-15
2570 2.650574e-01 1 3.591460e-05 4.198101e-11 4.260585e-15
2580 2.662020e-01 1 3.585506e-05 4.233586e-11 4.267514e-15
2590 2.673477e-01 1 3.579090e-05 4.213703e-11 4.282556e-15
2600 2.684943e-01 1 3.572207e-05 4.240602e-11 4.300922e-15
2610 2.696418e-01 1 3.564865e-05 4.171436e-11 4.270676e-15
2620 2.707903e-01 1 3.557050e-05 4.207641e-11 4.295998e-15
2630 2.719397e-01 1 3.548776e-05 4.243864e-11 4.321119e-15
2640 2.730901e-01 1 3.540046e-05 4.280099e-11 4.346042e-15
2650 2.742414e-01 1 3.530858e-05 4.316343e-11 4.370762e-15
2660 2.753937e-01 1 3.521218e-05 4.265386e-11 4.339955e-15
2670 2.765469e-01 1 3.511121e-05 4.300859e-11 4.363943e-15
2680 2.777011e-01 1 3.500576e-05 4.336329e-11 4.387723e-15
2690 2.788561e-01 1 3.489584e-05 4.371792e-11 4.411289e-15
