step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
1890 1.894588e-01 2.951271e-02 1.524962e-01 5.515627e-04 3.866677e-01 5.155569e+03
1900 1.905388e-01 2.955046e-02 1.524763e-01 5.523403e-04 3.866929e-01 5.155906e+03
1910 1.916197e-01 2.958845e-02 1.524564e-01 5.531227e-04 3.867182e-01 5.156243e+03
1920 1.927015e-01 2.962669e-02 1.524365e-01 5.539098e-04 3.867435e-01 5.156580e+03
1930 1.937843e-01 2.966517e-02 1.524165e-01 5.547018e-04 3.867688e-01 5.156917e+03
1940 1.948680e-01 2.970390e-02 1.523966e-01 5.554988e-04 3.867941e-01 5.157255e+03
1950 1.959527e-01 2.974289e-02 1.523766e-01 5.563008e-04 3.868194e-01 5.157592e+03
1960 1.970382e-01 2.978213e-02 1.523566e-01 5.571078e-04 3.868448e-01 5.157930e+03
1970 1.981248e-01 2.982165e-02 1.523367e-01 5.579201e-04 3.868701e-01 5.158268e+03
1980 1.992122e-01 2.986143e-02 1.523167e-01 5.587376e-04 3.868955e-01 5.158607e+03
1990 2.003006e-01 2.990148e-02 1.522967e-01 5.595605e-04 3.869209e-01 5.158945e+03
2000 2.013899e-01 2.994181e-02 1.522767e-01 5.603888e-04 3.869463e-01 5.159284e+03
2010 2.024802e-01 2.998242e-02 1.522567e-01 5.612226e-04 3.869717e-01 5.159623e+03
2020 2.035714e-01 3.002332e-02 1.522367e-01 5.620620e-04 3.869971e-01 5.159962e+03
2030 2.046636e-01 3.006450e-02 1.522167e-01 5.629070e-04 3.870226e-01 5.160301e+03
2040 2.057567e-01 3.010598e-02 1.521967e-01 5.637578e-04 3.870480e-01 5.160641e+03
2050 2.068507e-01 3.014776e-02 1.521766e-01 5.646143e-04 3.870735e-01 5.160980e+03
2060 2.079457e-01 3.018983e-02 1.521566e-01 5.654768e-04 3.870990e-01 5.161320e+03
2070 2.090417e-01 3.023221e-02 1.521365e-01 5.663452e-04 3.871245e-01 5.161660e+03
2080 2.101386e-01 3.027490e-02 1.521165e-01 5.672196e-04 3.871500e-01 5.162000e+03
2090 2.112364e-01 3.031790e-02 1.520964e-01 5.681002e-04 3.871755e-01 5.162340e+03
2100 2.123352e-01 3.036122e-02 1.520764e-01 5.689869e-04 3.872011e-01 5.162681e+03
2110 2.134350e-01 3.040485e-02 1.520563e-01 5.698799e-04 3.872266e-01 5.163022e+03
2120 2.145357e-01 3.044881e-02 1.520362e-01 5.707792e-04 3.872522e-01 5.163363e+03
2130 2.156373e-01 3.049310e-02 1.520161e-01 5.716849e-04 3.872778e-01 5.163704e+03
2140 2.167399e-01 3.053772e-02 1.519961e-01 5.725971e-04 3.873034e-01 5.164045e+03
2150 2.178435e-01 3.058267e-02 1.519760e-01 5.735159e-04 3.873290e-01 5.164386e+03
2160 2.189480e-01 3.062797e-02 1.519559e-01 5.744412e-04 3.873546e-01 5.164728e+03
2170 2.200534e-01 3.067360e-02 1.519357e-01 5.753732e-04 3.873802e-01 5.165070e+03
2180 2.211598e-01 3.071958e-02 1.519156e-01 5.763120e-04 3.874059e-01 5.165411e+03
2190 2.222672e-01 3.076591e-02 1.518955e-01 5.772576e-04 3.874315e-01 5.165754e+03
2200 2.233756e-01 3.081259e-02 1.518754e-01 5.782101e-04 3.874572e-01 5.166096e+03
2210 2.244848e-01 3.085963e-02 1.518553e-01 5.791695e-04 3.874829e-01 5.166438e+03
2220 2.255951e-01 3.090702e-02 1.518351e-01 5.801359e-04 3.875086e-01 5.166781e+03
2230 2.267063e-01 3.095478e-02 1.518150e-01 5.811095e-04 3.875343e-01 5.167123e+03
2240 2.278184e-01 3.100291e-02 1.517948e-01 5.820902e-04 3.875600e-01 5.167466e+03
2250 2.289316e-01 3.105140e-02 1.517747e-01 5.830781e-04 3.875857e-01 5.167809e+03
2260 2.300456e-01 3.110027e-02 1.517545e-01 5.840732e-04 3.876114e-01 5.168153e+03
2270 2.311607e-01 3.114951e-02 1.517344e-01 5.850757e-04 3.876372e-01 5.168496e+03
2280 2.322767e-01 3.119913e-02 1.517142e-01 5.860856e-04 3.876630e-01 5.168840e+03
2290 2.333936e-01 3.124913e-02 1.516940e-01 5.871030e-04 3.876887e-01 5.169183e+03
2300 2.345115e-01 3.129951e-02 1.516738e-01 5.881278e-04 3.877145e-01 5.169527e+03
2310 2.356304e-01 3.135029e-02 1.516537e-01 5.891603e-04 3.877403e-01 5.169871e+03
2320 2.367502e-01 3.140145e-02 1.516335e-01 5.902004e-04 3.877661e-01 5.170215e+03
2330 2.378710e-01 3.145301e-02 1.516133e-01 5.912481e-04 3.877920e-01 5.170559e+03
2340 2.389928e-01 3.150496e-02 1.515931e-01 5.923036e-04 3.878178e-01 5.170904e+03
2350 2.401155e-01 3.155731e-02 1.515729e-01 5.933669e-04 3.878436e-01 5.171248e+03
2360 2.412392e-01 3.161007e-02 1.515527e-01 5.944381e-04 3.878695e-01 5.171593e+03
2370 2.423638e-01 3.166322e-02 1.515325e-01 5.955171e-04 3.878953e-01 5.171938e+03
2380 2.434894e-01 3.171679e-02 1.515123e-01 5.966041e-04 3.879212e-01 5.172283e+03
2390 2.446159e-01 3.177076e-02 1.514921e-01 5.976991e-04 3.879471e-01 5.172628e+03
2400 2.457434e-01 3.182514e-02 1.514718e-01 5.988021e-04 3.879730e-01 5.172973e+03
2410 2.468719e-01 3.187994e-02 1.514516e-01 5.999133e-04 3.879989e-01 5.173318e+03
2420 2.480013e-01 3.193515e-02 1.514314e-01 6.010325e-04 3.880248e-01 5.173664e+03
2430 2.491317e-01 3.199079e-02 1.514112e-01 6.021600e-04 3.880507e-01 5.174010e+03
2440 2.502630e-01 3.204684e-02 1.513909e-01 6.032957e-04 3.880766e-01 5.174355e+03
2450 2.513953e-01 3.210331e-02 1.513707e-01 6.044397e-04 3.881026e-01 5.174701e+03
2460 2.525286e-01 3.216021e-02 1.513504e-01 6.055919e-04 3.881285e-01 5.175047e+03
2470 2.536628e-01 3.221754e-02 1.513302e-01 6.067526e-04 3.881545e-01 5.175393e+03
2480 2.547979e-01 3.227529e-02 1.513100e-01 6.079216e-04 3.881805e-01 5.175739e+03
2490 2.559341e-01 3.233348e-02 1.512897e-01 6.090990e-04 3.882064e-01 5.176086e+03
2500 2.570711e-01 3.239210e-02 1.512695e-01 6.102849e-04 3.882324e-01 5.176432e+03
2510 2.582092e-01 3.245115e-02 1.512492e-01 6.114793e-04 3.882584e-01 5.176779e+03
2520 2.593481e-01 3.251063e-02 1.512290e-01 6.126823e-04 3.882844e-01 5.177125e+03
2530 2.604881e-01 3.257055e-02 1.512087e-01 6.138938e-04 3.883104e-01 5.177472e+03
2540 2.616290e-01 3.263091e-02 1.511884e-01 6.151139e-04 3.883364e-01 5.177819e+03
2550 2.627708e-01 3.269171e-02 1.511682e-01 6.163426e-04 3.883625e-01 5.178166e+03
2560 2.639136e-01 3.275295e-02 1.511479e-01 6.175799e-04 3.883885e-01 5.178513e+03
2570 2.650574e-01 3.281463e-02 1.511276e-01 6.188259e-04 3.884145e-01 5.178860e+03
2580 2.662020e-01 3.287676e-02 1.511074e-01 6.200807e-04 3.884406e-01 5.179208e+03
2590 2.673477e-01 3.293933e-02 1.510871e-01 6.213441e-04 3.884666e-01 5.179555e+03
2600 2.684943e-01 3.300234e-02 1.510668e-01 6.226163e-04 3.884927e-01 5.179902e+03
2610 2.696418e-01 3.306580e-02 1.510466e-01 6.238972e-04 3.885188e-01 5.180250e+03
2620 2.707903e-01 3.312971e-02 1.510263e-01 6.251869e-04 3.885448e-01 5.180598e+03
2630 2.719397e-01 3.319406e-02 1.510060e-01 6.264854e-04 3.885709e-01 5.180945e+03
2640 2.730901e-01 3.325886e-02 1.509858e-01 6.277927e-04 3.885970e-01 5.181293e+03
2650 2.742414e-01 3.332411e-02 1.509655e-01 6.291088e-04 3.886231e-01 5.181641e+03
2660 2.753937e-01 3.338981e-02 1.509452e-01 6.304337e-04 3.886492e-01 5.181989e+03
2670 2.765469e-01 3.345596e-02 1.509249e-01 6.317675e-04 3.886753e-01 5.182337e+03
2680 2.777011e-01 3.352255e-02 1.509047e-01 6.331101e-04 3.887014e-01 5.182685e+03
2690 2.788561e-01 3.358960e-02 1.508844e-01 6.344616e-04 3.887275e-01 5.183033e+03
2700 2.800122e-01 3.365709e-02 1.508641e-01 6.358220e-04 3.887536e-01 5.183382e+03
2710 2.811691e-01 3.372504e-02 1.508438e-01 6.371911e-04 3.887797e-01 5.183730e+03
2720 2.823270e-01 3.379344e-02 1.508236e-01 6.385692e-04 3.888059e-01 5.184078e+03
